,y score 0,y score 1,y pred,y test
0,0.33977073,0.66022927,1,1
1,0.5072056,0.49279436,0,1
2,0.39485705,0.60514295,1,0
3,0.5182798,0.48172024,0,0
4,0.6073675,0.39263245,0,0
5,0.7853487,0.21465127,0,0
6,0.40730816,0.59269184,1,1
7,0.632729,0.367271,0,0
8,0.33680052,0.6631995,1,1
9,0.4884587,0.5115413,1,1
10,0.49807394,0.50192606,1,0
11,0.39240998,0.60759,1,0
12,0.44202787,0.55797213,1,0
13,0.6180784,0.3819216,0,0
14,0.40820646,0.59179354,1,0
15,0.47523576,0.52476424,1,0
16,0.5638085,0.4361915,0,0
17,0.50421965,0.49578038,0,1
18,0.67401624,0.3259838,0,0
19,0.6050073,0.3949927,0,1
20,0.44776183,0.55223817,1,0
21,0.51912737,0.48087266,0,0
22,0.64668775,0.35331225,0,0
23,0.4046858,0.5953142,1,1
24,0.47441208,0.5255879,1,1
25,0.449588,0.550412,1,0
26,0.36526686,0.63473314,1,1
27,0.6312161,0.3687839,0,0
28,0.39066136,0.60933864,1,1
29,0.53068817,0.4693118,0,0
30,0.45792705,0.54207295,1,0
31,0.5428947,0.45710525,0,0
32,0.46681225,0.53318775,1,1
33,0.47100204,0.52899796,1,0
34,0.62194455,0.37805545,0,0
35,0.58160365,0.41839638,0,0
36,0.61603904,0.38396093,0,1
37,0.46102798,0.538972,1,0
38,0.5719658,0.42803416,0,0
39,0.47204047,0.5279595,1,0
40,0.30539304,0.69460696,1,1
41,0.5287708,0.47122923,0,0
42,0.691081,0.308919,0,0
43,0.45662904,0.54337096,1,0
44,0.39861315,0.60138685,1,0
45,0.39935297,0.60064703,1,1
46,0.34342104,0.65657896,1,0
47,0.40007466,0.59992534,1,1
48,0.67479765,0.32520238,0,0
49,0.5371777,0.46282235,0,0
50,0.3053655,0.6946345,1,1
51,0.49577868,0.5042213,1,0
52,0.3545261,0.6454739,1,1
53,0.5412464,0.45875356,0,0
54,0.40354395,0.59645605,1,1
55,0.28619045,0.71380955,1,1
56,0.7100799,0.2899201,0,1
57,0.6722928,0.32770717,0,1
58,0.4555155,0.5444845,1,1
59,0.5332731,0.46672687,0,1
60,0.40123445,0.59876555,1,0
61,0.41328,0.58672,1,0
62,0.44156158,0.5584384,1,0
63,0.60068715,0.39931288,0,0
64,0.35541892,0.6445811,1,1
65,0.6927366,0.30726334,0,0
66,0.5551597,0.4448403,0,0
67,0.6487922,0.3512078,0,0
68,0.6165765,0.3834235,0,0
69,0.409397,0.590603,1,1
70,0.33474624,0.66525376,1,1
71,0.43833548,0.5616645,1,0
72,0.4188025,0.5811975,1,1
73,0.6838877,0.31611228,0,0
74,0.5843693,0.4156307,0,0
75,0.53862464,0.46137533,0,0
76,0.46950787,0.5304921,1,1
77,0.51739764,0.4826024,0,0
78,0.43584943,0.5641506,1,0
79,0.68042755,0.31957245,0,0
80,0.3223688,0.6776312,1,0
81,0.6760064,0.32399362,0,0
82,0.6325941,0.36740586,0,1
83,0.6142905,0.38570952,0,0
84,0.60569274,0.39430726,0,0
85,0.4957072,0.5042928,1,1
86,0.58934605,0.41065398,0,0
87,0.7523068,0.24769321,0,0
88,0.6707097,0.32929024,0,0
89,0.3038414,0.6961586,1,1
90,0.2517175,0.7482825,1,1
91,0.4806512,0.5193488,1,0
92,0.35297757,0.6470224,1,1
93,0.30734092,0.6926591,1,0
94,0.6116191,0.38838086,0,0
95,0.3724745,0.6275255,1,1
96,0.5543053,0.44569466,0,1
97,0.33890384,0.66109616,1,0
98,0.6977799,0.3022201,0,0
99,0.6022378,0.39776215,0,0
100,0.6104961,0.3895039,0,0
101,0.45276427,0.5472357,1,0
102,0.4973011,0.5026989,1,0
103,0.6392766,0.36072335,0,0
104,0.58001226,0.41998774,0,0
105,0.37667936,0.62332064,1,1
106,0.56909335,0.43090665,0,0
107,0.44045174,0.55954826,1,1
108,0.57837915,0.42162082,0,1
109,0.66231024,0.3376898,0,0
110,0.6037272,0.3962728,0,1
111,0.2916137,0.7083863,1,1
112,0.57465863,0.42534134,0,1
113,0.42177618,0.5782238,1,1
114,0.46872145,0.53127855,1,1
115,0.50710166,0.49289837,0,1
116,0.59090316,0.4090968,0,1
117,0.58750284,0.4124972,0,0
118,0.4211489,0.5788511,1,0
119,0.36734062,0.6326594,1,0
120,0.54560447,0.4543955,0,0
121,0.5271224,0.4728776,0,0
122,0.41346943,0.58653057,1,0
123,0.52620745,0.47379255,0,1
124,0.4263448,0.5736552,1,1
125,0.5665674,0.4334326,0,0
126,0.3378346,0.6621654,1,1
127,0.4566874,0.5433126,1,1
128,0.41144806,0.58855194,1,1
129,0.3545909,0.6454091,1,1
130,0.62093,0.37906998,0,1
131,0.5495525,0.4504475,0,0
132,0.5964823,0.40351775,0,1
133,0.48708743,0.5129126,1,1
134,0.6641557,0.3358443,0,0
135,0.44417906,0.55582094,1,0
136,0.48988265,0.51011735,1,1
137,0.503191,0.496809,0,0
138,0.5755831,0.42441693,0,0
139,0.64807045,0.35192955,0,0
140,0.4618104,0.5381896,1,0
141,0.5480981,0.45190194,0,0
142,0.5643269,0.43567312,0,0
143,0.68254006,0.31745997,0,0
144,0.3525368,0.6474632,1,1
145,0.6294762,0.37052378,0,1
146,0.68302715,0.31697282,0,0
147,0.62162364,0.3783764,0,1
148,0.58933735,0.41066268,0,0
149,0.5433651,0.4566349,0,0
150,0.30835772,0.6916423,1,1
151,0.4650991,0.5349009,1,1
152,0.5563279,0.44367212,0,0
153,0.5370766,0.46292344,0,1
154,0.4836117,0.5163883,1,0
155,0.41093034,0.58906966,1,1
156,0.33885938,0.6611406,1,1
157,0.30356026,0.69643974,1,1
158,0.3760208,0.6239792,1,1
159,0.58161306,0.41838694,0,1
160,0.584463,0.41553703,0,0
161,0.28915095,0.71084905,1,1
162,0.33334988,0.6666501,1,0
163,0.72021925,0.27978078,0,0
164,0.5628443,0.43715575,0,0
165,0.4090278,0.5909722,1,1
166,0.42122048,0.5787795,1,0
167,0.56309474,0.43690526,0,1
168,0.53427064,0.4657294,0,0
169,0.5924666,0.4075334,0,0
170,0.56530154,0.43469843,0,0
171,0.418155,0.581845,1,0
172,0.6933968,0.30660316,0,0
173,0.63821816,0.36178184,0,0
174,0.5041613,0.4958387,0,0
175,0.41497523,0.5850248,1,1
176,0.45427483,0.54572517,1,1
177,0.51830316,0.48169684,0,0
178,0.5597722,0.4402278,0,1
179,0.809302,0.19069803,0,0
180,0.31082243,0.6891776,1,1
181,0.45427513,0.54572487,1,0
182,0.4209444,0.5790556,1,1
183,0.5801097,0.41989025,0,0
184,0.588199,0.41180095,0,1
185,0.6845648,0.3154352,0,0
186,0.66439867,0.33560136,0,0
187,0.4440406,0.5559594,1,1
188,0.40066433,0.5993357,1,1
189,0.46726006,0.53273994,1,0
190,0.4790424,0.5209576,1,0
191,0.479953,0.520047,1,1
192,0.5724051,0.4275949,0,0
193,0.34725863,0.6527414,1,0
194,0.4067121,0.5932879,1,0
195,0.3710124,0.6289876,1,1
196,0.63254404,0.367456,0,1
197,0.4094026,0.5905974,1,1
198,0.36842704,0.63157296,1,1
199,0.65464103,0.34535897,0,0
200,0.4942615,0.5057385,1,0
201,0.5916624,0.4083376,0,0
202,0.4966808,0.5033192,1,0
203,0.32356757,0.67643243,1,1
204,0.4749921,0.5250079,1,0
205,0.31323546,0.68676454,1,0
206,0.39693838,0.6030616,1,1
207,0.7002707,0.2997293,0,0
208,0.57378054,0.42621943,0,0
209,0.55202496,0.447975,0,1
210,0.28217834,0.71782166,1,1
211,0.67635095,0.32364905,0,0
212,0.45547038,0.5445296,1,1
213,0.56203353,0.43796647,0,0
214,0.59059405,0.40940595,0,0
215,0.41696107,0.5830389,1,0
216,0.47595823,0.5240418,1,0
217,0.4479584,0.5520416,1,0
218,0.5355468,0.46445325,0,0
219,0.67425144,0.3257486,0,0
220,0.3290559,0.6709441,1,1
221,0.4802209,0.5197791,1,1
222,0.58120626,0.41879374,0,0
223,0.41898102,0.581019,1,0
224,0.36422294,0.63577706,1,1
225,0.48761952,0.5123805,1,0
226,0.5579493,0.4420507,0,0
227,0.5737647,0.42623532,0,1
228,0.5325009,0.46749908,0,0
229,0.44604307,0.5539569,1,0
230,0.5145938,0.48540622,0,1
231,0.28352386,0.71647614,1,0
232,0.32042283,0.6795772,1,0
233,0.58512396,0.41487604,0,0
234,0.4091211,0.5908789,1,0
235,0.52679574,0.47320428,0,0
236,0.37998885,0.62001115,1,1
237,0.43016082,0.5698392,1,1
238,0.39397627,0.6060237,1,1
239,0.5377841,0.46221587,0,1
240,0.42980874,0.57019126,1,1
241,0.42090708,0.5790929,1,1
242,0.61749434,0.38250569,0,0
243,0.40351993,0.5964801,1,1
244,0.25397646,0.74602354,1,1
245,0.40390682,0.5960932,1,0
246,0.30754155,0.69245845,1,0
247,0.5206783,0.47932175,0,0
248,0.6927905,0.3072095,0,0
249,0.5685562,0.43144378,0,0
250,0.6899687,0.31003127,0,0
251,0.49947345,0.50052655,1,0
252,0.5513274,0.4486726,0,0
253,0.5281619,0.47183812,0,1
254,0.5420091,0.45799085,0,0
255,0.45992613,0.5400739,1,1
256,0.53235865,0.46764132,0,0
257,0.39385378,0.6061462,1,1
258,0.50734615,0.49265385,0,0
259,0.38212776,0.61787224,1,0
260,0.3677833,0.6322167,1,1
261,0.50185156,0.49814847,0,1
262,0.26199627,0.73800373,1,1
263,0.5643351,0.43566492,0,1
264,0.47239727,0.52760273,1,1
265,0.5404378,0.4595622,0,0
266,0.577562,0.42243803,0,0
267,0.63025266,0.36974734,0,0
268,0.5784101,0.4215899,0,1
269,0.41358346,0.58641654,1,1
270,0.5167122,0.4832878,0,1
271,0.66673493,0.33326507,0,0
272,0.546692,0.45330802,0,1
273,0.7362246,0.2637754,0,0
274,0.57797563,0.42202434,0,0
275,0.552678,0.447322,0,0
276,0.6508305,0.34916946,0,0
277,0.38565612,0.6143439,1,1
278,0.62664664,0.3733534,0,0
279,0.6507782,0.34922186,0,1
280,0.4063167,0.5936833,1,1
281,0.50350976,0.49649027,0,1
282,0.6017096,0.39829043,0,0
283,0.4394648,0.5605352,1,0
284,0.43019098,0.569809,1,1
285,0.60247767,0.3975223,0,0
286,0.42142725,0.57857275,1,1
287,0.5928966,0.4071034,0,0
288,0.4634627,0.5365373,1,0
289,0.59699357,0.40300646,0,0
290,0.6538984,0.34610158,0,0
291,0.32659614,0.67340386,1,1
292,0.6047821,0.39521787,0,0
293,0.68385947,0.31614053,0,0
294,0.40363687,0.5963631,1,0
295,0.7192216,0.28077844,0,0
296,0.39340872,0.6065913,1,1
297,0.66116405,0.33883598,0,0
298,0.34801537,0.65198463,1,1
299,0.33360112,0.6663989,1,1
300,0.5051305,0.4948695,0,1
301,0.54341984,0.45658013,0,0
302,0.52503145,0.47496858,0,1
303,0.57755303,0.42244697,0,0
304,0.41318256,0.58681744,1,0
305,0.67654234,0.32345766,0,1
306,0.5134403,0.4865597,0,0
307,0.39808768,0.6019123,1,1
308,0.52717626,0.47282374,0,1
309,0.42879927,0.5712007,1,0
310,0.54233557,0.45766443,0,1
311,0.37687743,0.6231226,1,0
312,0.62770796,0.372292,0,0
313,0.39318508,0.6068149,1,1
314,0.44993716,0.55006284,1,1
315,0.38319474,0.61680526,1,1
