,y score 0,y score 1,y pred,y test
0,0.7261256,0.27387437,0,0
1,0.7014539,0.2985461,0,0
2,0.6510232,0.3489768,0,0
3,0.4119488,0.5880512,1,0
4,0.5181972,0.48180285,0,0
5,0.6436386,0.35636142,0,0
6,0.76104224,0.23895775,0,0
7,0.5726088,0.4273912,0,0
8,0.50157416,0.4984258,0,0
9,0.45538563,0.5446144,1,0
10,0.36521864,0.63478136,1,0
11,0.5083314,0.49166855,0,0
12,0.7284679,0.27153212,0,0
13,0.65529215,0.34470788,0,0
14,0.820968,0.17903203,0,0
15,0.44552314,0.55447686,1,0
16,0.44098198,0.559018,1,0
17,0.6930625,0.30693752,0,0
18,0.7042708,0.29572922,0,0
19,0.62195325,0.37804672,0,0
20,0.48893005,0.51106995,1,0
21,0.68453693,0.3154631,0,0
22,0.4630487,0.5369513,1,0
23,0.76244795,0.23755202,0,0
24,0.6907498,0.30925018,0,0
25,0.87313586,0.12686415,0,0
26,0.7120958,0.2879042,0,0
27,0.58034366,0.41965634,0,0
28,0.69641167,0.30358833,0,0
29,0.5737704,0.42622963,0,0
30,0.72918427,0.27081573,0,0
31,0.43514323,0.56485677,1,0
32,0.6987286,0.30127138,0,0
33,0.73859024,0.2614098,0,0
34,0.5619338,0.43806618,0,0
35,0.3221677,0.6778323,1,0
36,0.6831945,0.3168055,0,0
37,0.59887147,0.40112856,0,0
38,0.698189,0.301811,0,0
39,0.78156483,0.2184352,0,0
40,0.63407683,0.3659232,0,0
41,0.8289304,0.17106964,0,0
42,0.79459053,0.20540948,0,0
43,0.5933895,0.40661046,0,0
44,0.58307964,0.41692036,0,0
45,0.67308134,0.32691866,0,0
46,0.82282037,0.17717965,0,0
47,0.3517214,0.6482786,1,0
48,0.6803667,0.3196333,0,1
49,0.6538789,0.3461211,0,0
50,0.6931675,0.3068325,0,0
51,0.77756494,0.22243506,0,0
52,0.5492234,0.4507766,0,0
53,0.51861393,0.48138604,0,0
54,0.42360795,0.57639205,1,0
55,0.38748103,0.61251897,1,1
56,0.723619,0.27638105,0,0
57,0.5633426,0.4366574,0,0
