KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,1.0,auto,0.9044367346938776,0.8471544715447156,0.9068055555555556,0.8454545454545453
linear,10.0,scale,0.9049377655836984,0.8390243902439025,0.8970445736434108,0.8409090909090909
linear,100.0,auto,0.905623682537558,0.8512195121951219,0.8902616279069768,0.85
linear,1.0,auto,0.9053134048047576,0.8398373983739837,0.8893706477466824,0.85
linear,1000.0,auto,0.9068524980996476,0.8487804878048781,0.886121753937846,0.8090909090909091
linear,1000.0,auto,0.9091354108932321,0.8504065040650406,0.879190666075912,0.7909090909090909
linear,0.01,auto,0.8854184093418545,0.8162601626016261,0.876937984496124,0.85
linear,100.0,scale,0.9069544091255,0.8504065040650406,0.8722198611701374,0.8
linear,10.0,auto,0.9108199719111536,0.8422764227642275,0.8721587176455131,0.8318181818181818
linear,1000.0,scale,0.9078177672020622,0.8520325203252032,0.871513429752066,0.8090909090909092
linear,0.01,auto,0.8864489558642317,0.8008130081300813,0.8683744379343235,0.8272727272727274
linear,1000.0,auto,0.907029938879105,0.8569105691056909,0.8678095238095238,0.8181818181818181
linear,1.0,scale,0.910949963741842,0.8422764227642275,0.8622222222222221,0.8227272727272729
linear,1.0,scale,0.9114089315941863,0.8430894308943089,0.8609906713966627,0.7954545454545454
linear,1000.0,scale,0.9111124775453374,0.8504065040650406,0.8581538772621575,0.8045454545454545
linear,10.0,auto,0.9126877906782211,0.8455284552845528,0.8496850775193798,0.7727272727272727
linear,0.1,auto,0.909449027180349,0.8439024390243903,0.8482787930301743,0.75
linear,1.0,scale,0.9096443643200436,0.8495934959349594,0.8465788355291117,0.7954545454545455
linear,0.1,auto,0.9122326514305954,0.8447154471544713,0.845224017868874,0.7863636363636364
linear,10.0,auto,0.9107054332738448,0.8422764227642275,0.8442665289256199,0.7954545454545454
linear,10.0,scale,0.9114407759931258,0.8463414634146341,0.8442665289256198,0.8181818181818181
linear,100.0,scale,0.914364478114478,0.8552845528455284,0.8414117647058824,0.7909090909090908
linear,10.0,scale,0.9159836738716248,0.8544715447154472,0.8384162653825574,0.7909090909090909
linear,0.1,scale,0.9129650956948508,0.8349593495934959,0.832979175520612,0.7909090909090909
linear,100.0,auto,0.9145836734693876,0.8536585365853657,0.8319444444444444,0.7681818181818182
linear,100.0,scale,0.9176621178197224,0.8447154471544716,0.8313860533759685,0.8272727272727272
linear,1000.0,scale,0.9132390929671796,0.8422764227642278,0.8288595176454557,0.7818181818181819
linear,1.0,scale,0.9075679304205704,0.8422764227642278,0.8288033452219901,0.7909090909090908
linear,0.1,scale,0.9147895916807756,0.8390243902439025,0.8246896391692772,0.7909090909090909
linear,0.01,auto,0.8935735426368698,0.8040650406504065,0.8238774799860773,0.7954545454545455
linear,0.1,scale,0.9171835219908044,0.8569105691056909,0.8231813435433345,0.7545454545454544
linear,0.1,auto,0.9123948820708232,0.8390243902439025,0.8227661851257356,0.7772727272727273
linear,100.0,scale,0.9157041113094058,0.854471544715447,0.8206353305785123,0.7636363636363637
linear,10.0,auto,0.9174244603716628,0.8504065040650406,0.8193334153240683,0.7636363636363637
linear,100.0,auto,0.9222362565664002,0.8479674796747968,0.8168604651162791,0.7772727272727272
linear,1000.0,scale,0.9220596290789577,0.8439024390243903,0.8157929312836685,0.7772727272727272
linear,0.01,scale,0.8950105580693815,0.7991869918699187,0.8142084942084942,0.7727272727272727
linear,100.0,auto,0.9129082491582492,0.8487804878048781,0.8105882352941176,0.7636363636363636
linear,1.0,auto,0.9219185745364136,0.853658536585366,0.8074920634920635,0.7363636363636363
linear,1.0,auto,0.9171225019120142,0.8552845528455284,0.8054722638680659,0.7409090909090909
linear,0.01,auto,0.8978834518803465,0.8178861788617887,0.8035737747996321,0.7681818181818182
linear,0.1,auto,0.9189294937006026,0.8463414634146342,0.8000262777558798,0.7772727272727272
linear,0.01,scale,0.8939625454590383,0.8008130081300813,0.7973985021679149,0.7772727272727273
linear,0.01,scale,0.8968407134879443,0.8276422764227643,0.7934724451578384,0.7318181818181818
linear,0.01,scale,0.8965108401084009,0.8219512195121952,0.7893853305785122,0.7500000000000001
linear,1000.0,auto,0.9179217756145998,0.8560975609756097,0.7843887236152429,0.7636363636363636
linear,10.0,scale,0.9218485019785192,0.8617886178861788,0.7801099450274862,0.759090909090909
linear,0.1,scale,0.9169276494356632,0.8430894308943089,0.7785801880365171,0.7090909090909091
