KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,100.0,auto,0.8678147594758446,0.8029108550636751,0.6398651635720601,0.708235294117647
linear,10.0,auto,0.8608077008947741,0.7998787143723469,0.6314102564102564,0.7129411764705883
linear,10.0,scale,0.8414028474645341,0.7695573074590659,0.6303774234254904,0.6917647058823531
linear,100.0,scale,0.8439412848398408,0.7719830200121285,0.628312492830102,0.6917647058823531
linear,1000.0,scale,0.8469636383703063,0.7725894481503941,0.6263049214179189,0.6941176470588236
linear,1000.0,auto,0.8702320229446819,0.8083687083080655,0.6258289124668435,0.708235294117647
linear,1000.0,auto,0.7830465077233043,0.6015767131594907,0.6156048675733715,0.5294117647058824
linear,0.1,scale,0.7920731137882147,0.8016979987871437,0.6144315704944362,0.7458823529411764
linear,100.0,auto,0.7829583613163198,0.6021831412977562,0.6144118348842758,0.5294117647058824
linear,1.0,auto,0.8449258934858399,0.810794420861128,0.6130636604774535,0.7341176470588234
linear,10.0,auto,0.7805070517125589,0.608853850818678,0.6064781675017896,0.5317647058823529
linear,1.0,scale,0.8286257630169201,0.7665251667677379,0.5973958930824824,0.6988235294117646
linear,10.0,scale,0.8363799722290289,0.7295330503335355,0.5888136043576458,0.64
linear,100.0,scale,0.8379441313403577,0.7325651910248636,0.5821044240733361,0.6329411764705882
linear,0.1,auto,0.8111829563604513,0.8186779866585809,0.5808465959328029,0.731764705882353
linear,1000.0,scale,0.8387568406436331,0.7337780473013948,0.5777866347814533,0.6352941176470589
linear,10.0,auto,0.7843638468216457,0.6094602789569437,0.5764067409311625,0.5035294117647059
linear,100.0,auto,0.7855414616893348,0.6106731352334749,0.5753356183947445,0.4941176470588236
linear,1.0,auto,0.7703156480859639,0.6367495451788964,0.5742066332617514,0.5576470588235294
linear,1000.0,auto,0.7912165203691199,0.6046088538508188,0.5714795772636388,0.4988235294117646
linear,100.0,auto,0.8636946392098958,0.8071558520315343,0.5669506999391357,0.6094117647058824
linear,1000.0,scale,0.6761065991632387,0.5027289266221953,0.5653227469581357,0.48
linear,1000.0,auto,0.8705116756116322,0.8132201334141904,0.5628423615337795,0.6047058823529412
linear,10.0,scale,0.6982122139014872,0.5009096422073984,0.5613528562590224,0.4776470588235294
linear,1.0,scale,0.8207383811157396,0.7416616130988478,0.5569948186528497,0.6588235294117646
linear,0.1,scale,0.7802090990770235,0.7465130382049727,0.5558655506842035,0.6588235294117647
linear,1000.0,auto,0.8122833688051079,0.6664645239539114,0.5544533333333334,0.5905882352941177
linear,10.0,auto,0.8553391276669113,0.8016979987871437,0.549655102454859,0.611764705882353
linear,100.0,scale,0.6936504588123615,0.5033353547604609,0.5493916271396164,0.48
linear,100.0,auto,0.7970594622768535,0.6573681018799271,0.5421333333333332,0.5882352941176472
linear,0.1,auto,0.8104625151416016,0.8211036992116434,0.5392574558734023,0.6658823529411765
linear,100.0,auto,0.7209747101313161,0.5403274711946635,0.5376561972306654,0.4541176470588236
linear,1000.0,scale,0.7135587682757494,0.5118253486961795,0.5364022851069483,0.4517647058823529
linear,1000.0,scale,0.8201993920346231,0.6531231049120679,0.5331012378426172,0.5623529411764707
linear,10.0,scale,0.8097918491421505,0.6513038204972711,0.5324381078691424,0.5623529411764706
linear,10.0,auto,0.7190066767985519,0.5366889023650697,0.5289316672295395,0.4447058823529412
linear,1000.0,auto,0.726537285907003,0.5518496058217102,0.5287628053585499,0.4682352941176471
linear,1.0,scale,0.7073093555532117,0.5633717404487568,0.5286141472468551,0.5152941176470588
linear,1.0,auto,0.7779733770618309,0.6106731352334749,0.5282776349614395,0.5152941176470588
linear,100.0,scale,0.7212938005390835,0.5057610673135233,0.5275674239404808,0.4470588235294117
linear,10.0,scale,0.7212907855303702,0.5585203153426319,0.5270760233918129,0.4776470588235295
linear,10.0,auto,0.7965947096381879,0.6525166767738022,0.52704,0.5741176470588235
linear,1000.0,scale,0.8098905414866548,0.6591873862947241,0.5229652144545762,0.6
linear,1.0,auto,0.8393310285678919,0.8217101273499091,0.5220125786163522,0.5905882352941179
linear,100.0,scale,0.8046396065640955,0.6506973923590054,0.5218394686479793,0.5905882352941176
linear,1.0,scale,0.7974264516461433,0.6500909642207399,0.5210543766578251,0.5576470588235295
linear,100.0,scale,0.8147423016813505,0.6525166767738023,0.5202807250221044,0.5458823529411765
linear,100.0,scale,0.7184753703938205,0.5657974530018194,0.5199999999999999,0.48
linear,10.0,scale,0.7066119415176019,0.4906003638568829,0.5190647004118507,0.4376470588235294
linear,10.0,auto,0.7098717450446947,0.5318374772589448,0.5190512375162831,0.4588235294117648
linear,1000.0,auto,0.7161635790473722,0.5318374772589447,0.5173143725575337,0.4682352941176471
linear,100.0,auto,0.7133537521630691,0.5239539114614917,0.5165238678090576,0.4894117647058824
linear,100.0,auto,0.7201364598177656,0.5306246209824135,0.5157403386886671,0.4635294117647059
linear,10.0,scale,0.795094004542272,0.6452395391146148,0.5114826072272881,0.5741176470588235
linear,1000.0,auto,0.7216363769305135,0.525166767738023,0.5106079151366789,0.4894117647058824
linear,1.0,scale,0.7211222739524626,0.5178896300788356,0.5105619768832204,0.4305882352941177
linear,1.0,auto,0.7271562985604754,0.545785324439054,0.5103005741303615,0.4682352941176471
linear,1.0,auto,0.7831299135646962,0.6634323832625834,0.50576,0.5976470588235294
linear,10.0,auto,0.7144058364273005,0.5227410551849605,0.5056439548483612,0.4894117647058824
linear,1000.0,scale,0.7275252205478874,0.5730745906610066,0.505438596491228,0.48
linear,1.0,scale,0.7850275780809755,0.6488781079442086,0.4746707193515704,0.5647058823529412
linear,1000.0,scale,0.8235308688867053,0.6846573681018799,0.4739583333333334,0.5247058823529412
linear,1.0,scale,0.7222700603604745,0.5815645845967253,0.4722222222222223,0.4823529411764706
linear,10.0,scale,0.8105838542139725,0.6682838083687084,0.4700203252032521,0.5176470588235295
linear,100.0,scale,0.8147536516691575,0.6749545178896301,0.469067581300813,0.5129411764705882
linear,1.0,auto,0.7252272745736824,0.5451788963007884,0.4676322589419285,0.4941176470588236
linear,1.0,scale,0.8043209010065313,0.6628259551243179,0.4616361788617887,0.5270588235294117
linear,1.0,auto,0.721954484605087,0.5900545785324438,0.4608119843682154,0.4776470588235295
linear,0.01,scale,0.6561223883384696,0.6470588235294117,0.4545141677182517,0.5741176470588234
linear,0.001,scale,0.6352800346382089,0.5809581564584597,0.45285075140529996,0.5317647058823529
linear,0.01,auto,0.6546619265976266,0.6191631291691936,0.443081343943413,0.5599999999999999
linear,0.001,auto,0.6404030776100436,0.5785324439053973,0.4412577365163573,0.5411764705882353
linear,0.1,auto,0.7048984217595703,0.5688295936931475,0.44112383679312817,0.4705882352941176
linear,0.1,auto,0.7216001389914433,0.6082474226804123,0.4064,0.5270588235294117
linear,0.01,scale,0.6429837458139345,0.5664038811400849,0.4026172445861565,0.5011764705882352
linear,0.001,scale,0.6298701298701299,0.5324439053972104,0.4026172445861565,0.4894117647058824
linear,0.01,auto,0.6805586256288738,0.6931473620375986,0.4012477175897748,0.6094117647058824
linear,0.001,auto,0.657795382806214,0.6306852637962402,0.3946540880503144,0.5694117647058823
linear,0.1,scale,0.7306661857900973,0.6118859915100061,0.3893125552608311,0.5317647058823529
linear,0.1,scale,0.6250747108251591,0.6682838083687083,0.3863683233656424,0.5599999999999999
linear,0.1,auto,0.6501127029934598,0.574287446937538,0.3836541708882134,0.4823529411764706
linear,0.01,scale,0.6038568364799775,0.679805942995755,0.3808001649824706,0.6117647058823529
linear,0.001,scale,0.6029866751045952,0.6791995148574894,0.37987213858527535,0.6117647058823529
linear,0.001,auto,0.6049320013431834,0.533050333535476,0.37568599379623,0.4870588235294116
linear,0.01,auto,0.6052300201477502,0.5372953305033353,0.3756263421617753,0.4870588235294117
linear,0.1,scale,0.6472106509842359,0.4996967859308672,0.3753819582835127,0.4282352941176471
linear,0.01,auto,0.5793232697529073,0.6343238326258339,0.3734661713385118,0.5835294117647059
linear,0.001,auto,0.579434265125254,0.6270466949666464,0.37301587301587297,0.5835294117647059
linear,0.1,auto,0.7191006720041158,0.4833232261976956,0.3703941730934019,0.4117647058823529
linear,0.1,scale,0.6545143725465367,0.5403274711946634,0.3657309941520467,0.4494117647058824
linear,0.001,auto,0.6053120792251228,0.6276531231049121,0.3589333333333333,0.5811764705882353
linear,0.01,auto,0.6061199669895322,0.6331109763493026,0.3587733333333334,0.5835294117647059
linear,0.1,scale,0.7090128242345588,0.5821710127349911,0.35855003940110325,0.4847058823529412
linear,0.01,scale,0.5811320754716982,0.4887810794420861,0.35791151853328024,0.44
linear,0.1,scale,0.7507534535005655,0.5330503335354759,0.35740599593495936,0.4352941176470588
linear,0.001,scale,0.5812668463611861,0.48574893875075803,0.3569815331473363,0.44
linear,0.1,auto,0.6417497948784384,0.5748938750758035,0.3544832826747721,0.4823529411764706
linear,0.1,auto,0.6464631283055351,0.5051546391752577,0.34094927240582074,0.4352941176470588
linear,0.01,auto,0.593967266917131,0.5827774408732566,0.34075119409465915,0.524705882352941
linear,0.001,auto,0.5947445696765556,0.5827774408732566,0.3405883630047764,0.524705882352941
linear,0.001,scale,0.6448736262375214,0.3923590054578532,0.3396214430894309,0.3411764705882353
linear,0.01,scale,0.6452658349090488,0.3996361431170406,0.33943089430894313,0.3411764705882353
linear,0.001,scale,0.5954117597399856,0.5360824742268041,0.3369590643274854,0.4752941176470588
