KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC
linear,1000.0,scale,0.7106112258126471,0.6118859915100061,0.6201428428728398,0.5529411764705883
linear,100.0,scale,0.7103663513708168,0.6118859915100061,0.6190440515433023,0.5529411764705883
linear,1.0,scale,0.7119684384052751,0.6106731352334749,0.617196084307262,0.5411764705882354
linear,10.0,scale,0.7100526560074262,0.6118859915100061,0.6163220457496754,0.5529411764705883
linear,1.0,auto,0.6988095238095238,0.6282595512431777,0.6094417439976433,0.5623529411764706
linear,10.0,auto,0.6876855600539811,0.6155245603395998,0.6018559434379143,0.5670588235294118
linear,1000.0,auto,0.6866187905661589,0.6124924196482717,0.6013895026267984,0.5694117647058823
linear,100.0,auto,0.6872855214960477,0.6130988477865373,0.6013404035940493,0.5694117647058823
linear,1.0,auto,0.7260860671456698,0.6367495451788963,0.5981536449162348,0.5623529411764707
linear,1.0,auto,0.6925002988507976,0.6276531231049121,0.5949154171472512,0.56
linear,1000.0,auto,0.6777096074877471,0.6003638568829592,0.5945790080738178,0.5647058823529413
linear,1000.0,auto,0.7209593699659924,0.6234081261370528,0.5945062132112492,0.5576470588235294
linear,10.0,auto,0.7220700478150809,0.6240145542753184,0.5944055944055944,0.5576470588235294
linear,100.0,auto,0.6777596851889545,0.6003638568829592,0.5942906574394464,0.5647058823529413
linear,100.0,auto,0.7212262522692987,0.6221952698605215,0.5936257986617699,0.5552941176470588
linear,10.0,auto,0.6816108219527718,0.6015767131594905,0.5907103037293349,0.5670588235294118
linear,100.0,auto,0.7167885023239023,0.6234081261370528,0.5828848484848486,0.5505882352941176
linear,10.0,auto,0.7167401548408723,0.6240145542753184,0.5825696969696971,0.548235294117647
linear,1000.0,auto,0.71674176642364,0.6234081261370528,0.5824727272727273,0.5505882352941176
linear,100.0,auto,0.6325698329383092,0.5645845967252879,0.5783208020050126,0.5294117647058825
linear,1000.0,auto,0.7280695816975769,0.624620982413584,0.5731636363636363,0.5411764705882354
linear,100.0,auto,0.7279664404004461,0.6270466949666464,0.5730909090909091,0.5411764705882354
linear,10.0,scale,0.6330222192162889,0.5670103092783505,0.5715397334889601,0.5458823529411765
linear,10.0,auto,0.7288221908500777,0.6276531231049121,0.5715151515151515,0.5388235294117648
linear,1.0,auto,0.7169577185145073,0.6209824135839903,0.5708121212121212,0.5411764705882354
linear,10.0,scale,0.6985846147822597,0.6100667070952093,0.5688111888111889,0.5364705882352941
linear,1000.0,scale,0.6471415182755389,0.5645845967252879,0.5684028790973641,0.5458823529411765
linear,100.0,auto,0.637645810893543,0.5670103092783505,0.5681397928994083,0.5670588235294118
linear,1.0,auto,0.7297939752589813,0.6373559733171619,0.5653575757575758,0.5317647058823529
linear,100.0,scale,0.6979842669720608,0.6094602789569437,0.5642424242424242,0.5364705882352941
linear,1.0,scale,0.7203612273226472,0.659187386294724,0.5641231397723957,0.5223529411764707
linear,1000.0,scale,0.6980527849286597,0.6094602789569437,0.5640093240093239,0.5364705882352941
linear,10.0,auto,0.6492712041683859,0.5645845967252879,0.5632581453634086,0.5294117647058825
linear,100.0,scale,0.7179312521538049,0.6470588235294117,0.563247738546834,0.5247058823529411
linear,1000.0,scale,0.7173885738026453,0.6458459672528805,0.5631991051454138,0.5270588235294117
linear,10.0,scale,0.7182146687407609,0.6458459672528805,0.5630775216418636,0.5294117647058824
linear,1.0,scale,0.7089112496696456,0.6391752577319587,0.5587412587412587,0.5364705882352941
linear,100.0,scale,0.7318667808508016,0.654335961188599,0.5585739344806334,0.5529411764705883
linear,1000.0,scale,0.7317597332243393,0.6555488174651303,0.5584080026549092,0.5529411764705883
linear,10.0,auto,0.6375999764279893,0.5682231655548817,0.5580390162721893,0.5647058823529413
linear,10.0,scale,0.7320305961579633,0.6537295330503334,0.5579813208173328,0.5435294117647059
linear,1.0,scale,0.6466857972862863,0.5718617343844754,0.5576548973835229,0.5505882352941177
linear,100.0,scale,0.6413797878884498,0.5664038811400849,0.5571685633693221,0.5458823529411765
linear,1000.0,auto,0.6412716445078852,0.5676167374166161,0.5525610207100591,0.5670588235294118
linear,10.0,scale,0.6968359267027624,0.6161309884778654,0.5521127423301336,0.5270588235294118
linear,1000.0,scale,0.6967513779815621,0.616737416616131,0.5515010351966874,0.5270588235294118
linear,1.0,auto,0.6523914162980307,0.5706488781079442,0.5508521303258146,0.5082352941176471
linear,100.0,scale,0.6961416516267498,0.616737416616131,0.5506070016939582,0.5294117647058825
linear,100.0,scale,0.6505917245791051,0.5670103092783505,0.5502210688196847,0.52
linear,1000.0,auto,0.6624445446665325,0.5645845967252879,0.5481954887218045,0.5294117647058825
linear,1000.0,auto,0.6337136374686005,0.5676167374166161,0.5473429033178059,0.5388235294117647
linear,1000.0,scale,0.6505141849127194,0.5670103092783505,0.5450547866205305,0.52
linear,1.0,scale,0.6537288502482884,0.5670103092783505,0.5450067281814687,0.52
linear,10.0,scale,0.644312627011589,0.5670103092783505,0.5448385236447519,0.52
linear,100.0,auto,0.6412187018880156,0.5676167374166161,0.5391909877364769,0.5388235294117647
linear,1.0,scale,0.7334984461874826,0.6670709520921769,0.5356990470772294,0.5435294117647059
linear,1.0,scale,0.7018194234427588,0.6264402668283808,0.5344673442499529,0.5317647058823529
linear,1.0,auto,0.6477064760825937,0.5815645845967252,0.5338156434911243,0.5411764705882353
linear,10.0,auto,0.6467158252977878,0.5670103092783505,0.5286386538644358,0.5388235294117647
linear,0.1,auto,0.6844354475933424,0.6209824135839903,0.5280846467324594,0.5035294117647059
linear,1.0,auto,0.6489976501093915,0.5827774408732564,0.5254777070063694,0.5152941176470589
linear,0.1,auto,0.6753608017601505,0.6009702850212248,0.5209775086505191,0.5200000000000001
linear,0.1,scale,0.6856756453962004,0.6130988477865373,0.5184796723604036,0.4894117647058824
linear,100.0,scale,0.6467276656457228,0.5676167374166161,0.5161706059721817,0.5247058823529412
linear,10.0,scale,0.6539950466510145,0.5682231655548817,0.5134228187919463,0.5247058823529412
linear,0.1,scale,0.6902205299374529,0.6452395391146148,0.5094638694638693,0.5176470588235293
linear,1000.0,scale,0.6456487502294709,0.5676167374166161,0.5088512790584574,0.5247058823529412
linear,0.1,auto,0.6961313252703981,0.6021831412977563,0.5061125924435277,0.4752941176470588
linear,1.0,scale,0.6555683307729221,0.5791388720436628,0.490832603832312,0.5152941176470589
linear,0.1,auto,0.7019023122989551,0.6337174044875682,0.488290909090909,0.491764705882353
linear,0.1,auto,0.6949451094909334,0.6258338386901152,0.4859636363636364,0.4988235294117647
linear,0.1,scale,0.6997555531937507,0.6282595512431777,0.4850695457640307,0.4564705882352941
linear,0.1,scale,0.6846235143001155,0.6446331109763492,0.4740730284208545,0.4847058823529412
linear,0.1,scale,0.6339256095872102,0.5730745906610066,0.456156988619784,0.4564705882352942
linear,0.1,auto,0.6344282063338228,0.5433596118859916,0.4524310776942356,0.3905882352941177
linear,0.1,scale,0.6196630901495546,0.5621588841722256,0.4352652825836216,0.4564705882352941
linear,0.1,auto,0.6251346387425641,0.5930867192237719,0.4338248890532545,0.4870588235294117
linear,0.001,scale,0.5790844043342501,0.5773195876288661,0.4251748251748252,0.4964705882352941
linear,0.01,scale,0.5905481110251918,0.5809581564584598,0.4249883449883449,0.48
linear,0.1,auto,0.629190503200713,0.5815645845967252,0.4204059321228253,0.4705882352941176
linear,0.1,scale,0.6993891797556719,0.651303820497271,0.4174844735220215,0.4517647058823529
linear,0.001,auto,0.5720135759732349,0.5075803517283202,0.4088,0.4282352941176471
linear,0.01,scale,0.5926025511755574,0.5039417828987265,0.40710218759364697,0.3741176470588236
linear,0.001,scale,0.5692914646052399,0.5069739235900546,0.40710218759364697,0.4305882352941177
linear,0.001,auto,0.5567379629540781,0.4887810794420861,0.4046365914786968,0.41647058823529415
linear,0.01,auto,0.5643745661929573,0.4693753790175864,0.4037844611528823,0.37647058823529417
linear,0.001,scale,0.5657552525046927,0.5457853244390538,0.40349865436370624,0.4494117647058824
linear,0.01,auto,0.5837525321547303,0.5815645845967253,0.4034025374855825,0.4635294117647059
linear,0.001,scale,0.5552259764184517,0.5069739235900546,0.4022711798463185,0.4305882352941177
linear,0.01,auto,0.6030317095025366,0.5275924802910855,0.4019878787878788,0.3858823529411765
linear,0.01,auto,0.5857480239059186,0.5482110369921165,0.4019001325673885,0.4258823529411765
linear,0.001,auto,0.5700661911188227,0.5075803517283202,0.4018264840182649,0.4282352941176471
linear,0.01,scale,0.5696160817268083,0.5233474833232261,0.4016243752402922,0.4117647058823529
linear,0.001,auto,0.5726578982227262,0.5621588841722256,0.4010476739715494,0.4705882352941176
linear,0.01,scale,0.5592743247116719,0.5112189205579138,0.3988182083454917,0.4047058823529413
linear,0.001,auto,0.5756976541801233,0.5591267434808974,0.3928969696969696,0.4823529411764706
linear,0.001,auto,0.5694670433823217,0.5645845967252879,0.3916188979289941,0.4611764705882353
