KERNEL,GAMMA,C,TRAIN-AUC,TRAIN-ACC,TEST-AUC,TEST-ACC,PRECISION,RECALL
linear,1000.0,auto,0.75317286080184,0.690462592804112,0.4472044597474996,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,1000.0,scale,0.75317286080184,0.690462592804112,0.44720445974749956,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,100.0,auto,0.7529363336992316,0.6933181039406054,0.4459747499590097,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,100.0,scale,0.7529363336992316,0.6933181039406054,0.4459747499590097,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,10.0,auto,0.7547253149338771,0.6921758994860079,0.4432693884243319,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,10.0,scale,0.7547253149338771,0.6921758994860079,0.4432693884243319,0.45022624434389136,0.4502262443438914,0.4502262443438914
linear,1.0,auto,0.7471721290052793,0.6830382638492289,0.44021560911624863,0.4479638009049773,0.4479638009049774,0.4479638009049774
linear,1.0,scale,0.7471721290052793,0.6830382638492289,0.44021560911624863,0.4479638009049773,0.4479638009049774,0.4479638009049774
linear,0.1,auto,0.7196226020594846,0.6561964591661907,0.4203967863584194,0.4298642533936651,0.4298642533936652,0.4298642533936652
linear,0.1,scale,0.7196226020594846,0.6561964591661907,0.4203967863584194,0.4298642533936651,0.4298642533936652,0.4298642533936652
linear,0.01,auto,0.6528644608227485,0.6082238720731011,0.3939990162321692,0.4253393665158371,0.4253393665158371,0.4253393665158371
linear,0.01,scale,0.6528644608227485,0.6082238720731011,0.3939990162321692,0.4253393665158371,0.4253393665158371,0.4253393665158371
